ID,Овог нэр,Мэргэжил,Төрсөн өдөр,Танилцуулга,BirthYear
2192,Park Hyun-Soo,Найруулагч,2000-12-20 00:00:00,,2000
2193,Kim Young-Ho,Жүжигчин,1975-01-18 00:00:00,,1975
2194,Kim Hye-Sun,Жүжигчин,1968-11-27 00:00:00,,1968
2195,Kim San-Ho,Жүжигчин,1958-12-15 00:00:00,,1958
2196,Rain Jung,Найруулагч,1982-03-05 00:00:00,,1982
2197,Im Chang-Jung,Жүжигчин,1989-10-05 00:00:00,,1989
2198,Kim Gyu-Ri,Жүжигчин,1940-02-25 00:00:00,,1940
2199,Kim Tae-Hoon,Жүжигчин,1976-06-22 00:00:00,,1976
2200,Yoo Jung-Hwan,Найруулагч,2005-07-25 00:00:00,,2005
2201,Cha Ye-Ryun,Жүжигчин,1958-07-10 00:00:00,,1958
2202,Jo Hyun-Jae,Жүжигчин,1958-07-16 00:00:00,,1958
2203,Ahn Cheol-Ho,Найруулагч,1997-12-16 00:00:00,,1997
2204,Hwang Woo Seul,Жүжигчин,1944-02-05 00:00:00,,1944
2205,Sa-Hee,Жүжигчин,1966-03-28 00:00:00,,1966
2206,Kim Jin-Woo,Жүжигчин,1970-03-31 00:00:00,,1970
2207,Kang Hyeong-cheol,Найруулагч,1992-08-29 00:00:00,,1992
2208,Cha Tae-hyun,Жүжигчин,1948-07-07 00:00:00,차태현 / Ча Тэхён,1948
2209,Park Bo-young,Жүжигчин,1968-08-24 00:00:00,,1968
2210,И Согхүнь,Найруулагч,1950-01-20 00:00:00,,1950
2211,Ким Намгил,Жүжигчин,1991-12-26 00:00:00,,1991
2212,Сунь Еэжинь,Жүжигчин,1981-09-24 00:00:00,,1981
2213,In-chun Oh,Найруулагч,1972-10-13 00:00:00,,1972
2214,Hye-Lin Han,Жүжигчин,1965-12-07 00:00:00,,1965
2215,Haneul Kang,Жүжигчин,1950-02-09 00:00:00,,1950
2216,So-eun Kim,Жүжигчин,2000-11-04 00:00:00,,2000
2217,Seung-ryong Ryu,Жүжигчин,1982-09-30 00:00:00,,1982
2218,Dae-seung Kim,Найруулагч,1961-01-23 00:00:00,,1961
2219,Yeo-Jeong Jo,Жүжигчин,1967-04-27 00:00:00,,1967
2220,Dong-wook Kim,Жүжигчин,1987-12-06 00:00:00,,1987
2221,Min-jun Kim,Жүжигчин,1987-06-29 00:00:00,,1987
2222,DOH Chang-hoon,Найруулагч,1970-06-07 00:00:00,,1970
2223,LEE Min-ho,Жүжигчин,1959-12-29 00:00:00,,1959
2224,BAE Seul-ki,Жүжигчин,1983-07-23 00:00:00,,1983
2225,AHN Yong-jun,Жүжигчин,1983-06-12 00:00:00,,1983
2226,BAEK Bong-gi,Жүжигчин,1979-07-31 00:00:00,,1979
2227,Kyung-Taek Kwak,Найруулагч,1944-10-22 00:00:00,,1944
2228,Oh-seong Yu,Жүжигчин,1971-03-16 00:00:00,,1971
2229,Jin-mo Ju,Жүжигчин,1980-07-08 00:00:00,,1980
2230,Woo-bin Kim,Жүжигчин,2002-09-15 00:00:00,,2002
2231,Kim Suk-Yoon,Найруулагч,1974-09-08 00:00:00,,1974
2232,Kim Myung-Min,Жүжигчин,1962-08-14 00:00:00,,1962
2233,Lee Yeon-Hee,Жүжигчин,1976-09-06 00:00:00,,1976
2234,Oh Dal-Su,Жүжигчин,1951-09-12 00:00:00,,1951
2235,Arnold Schwarzenegger,Жүжигчин,1947-07-30 00:00:00,,1947
2236,50 Cent,Жүжигчин,1945-12-26 00:00:00,,1945
2237,Francis Lawrence,Найруулагч,1984-10-02 00:00:00,,1984
2238,Jennifer Lawrence,Жүжигчин,2005-02-01 00:00:00,,2005
2239,Dean Parisot,Найруулагч,1995-11-02 00:00:00,,1995
2240,David Twohy,Найруулагч,1978-07-10 00:00:00,,1978
2241,Karl Urban,Жүжигчин,1942-08-28 00:00:00,,1942
2242,Katee Sackhoff,Жүжигчин,2005-03-17 00:00:00,,2005
2243,Denis Villeneuve,Найруулагч,1969-09-04 00:00:00,,1969
2244,Peter Lepeniotis,Найруулагч,1959-02-12 00:00:00,,1959
2245,Stuart Beattie,Найруулагч,1998-11-27 00:00:00,,1998
2246,Aaron Eckhart,Жүжигчин,1989-04-06 00:00:00,,1989
2247,Miranda Otto,Жүжигчин,1989-06-23 00:00:00,,1989
2248,Kit Harington,Жүжигчин,1958-05-01 00:00:00,,1958
2249,Emily Browning,Жүжигчин,2005-06-17 00:00:00,,2005
2250,Neil Burger,Найруулагч,1969-11-21 00:00:00,,1969
2251,Theo James,Жүжигчин,1975-01-27 00:00:00,,1975
2252,Wally Pfister,Найруулагч,1989-07-25 00:00:00,,1989
2253,Rebecca Hall,Жүжигчин,1983-07-24 00:00:00,,1983
2254,Joe Cornish,Найруулагч,1951-05-16 00:00:00,,1951
2255,John Boyega,Жүжигчин,1959-12-18 00:00:00,,1959
2256,Jodie Whittaker,Жүжигчин,1963-11-03 00:00:00,,1963
2257,Alex Esmail,Жүжигчин,2002-07-16 00:00:00,,2002
2258,Claude Sautet,Найруулагч,1987-02-27 00:00:00,,1987
2259,Daniel Auteuil,Жүжигчин,1964-03-06 00:00:00,,1964
2260,Mike Leigh,Найруулагч,1988-06-28 00:00:00,,1988
2261,Lesley Manville,Жүжигчин,1988-09-28 00:00:00,,1988
2262,Isabelle Doval,Найруулагч,1966-01-07 00:00:00,,1966
2263,Jose Garcia,Жүжигчин,1966-08-10 00:00:00,,1966
2264,Audrey Fleurot,Жүжигчин,1999-01-09 00:00:00,,1999
2265,Lucien Jean-Baptiste,Жүжигчин,1977-01-29 00:00:00,,1977
2266,Richard Curtis,Найруулагч,1949-11-13 00:00:00,,1949
2267,Martine McCutcheon,Жүжигчин,1987-07-04 00:00:00,,1987
2268,Rachid Bouchareb,Найруулагч,1978-11-29 00:00:00,,1978
2269,Roschdy Zem,Жүжигчин,1973-08-03 00:00:00,,1973
2270,Sami Bouajila,Жүжигчин,1987-11-10 00:00:00,,1987
2271,David Moreau,Найруулагч,1999-11-14 00:00:00,,1999
2272,Olivia Bonamy,Жүжигчин,1961-10-22 00:00:00,,1961
2273,Michael Cohen,Жүжигчин,1967-09-04 00:00:00,,1967
2274,Jean-Pierre Ameris,Найруулагч,1952-07-04 00:00:00,,1952
2275,Benoit Poelvoorde,Жүжигчин,1982-09-15 00:00:00,,1982
2276,Isabelle Carre,Жүжигчин,1966-07-31 00:00:00,,1966
2277,Bertrand Tavernier,Найруулагч,1962-08-06 00:00:00,,1962
2278,Melanie Thierry,Жүжигчин,1985-12-21 00:00:00,,1985
2279,Lambert Wilson,Жүжигчин,1966-12-09 00:00:00,,1966
2280,Gaspard Ulliel,Жүжигчин,1970-08-25 00:00:00,,1970
2281,Jorge Dorado,Найруулагч,1969-01-16 00:00:00,,1969
2282,Mark Strong,Жүжигчин,1957-01-23 00:00:00,,1957
2283,Taissa Farmiga,Жүжигчин,1948-04-20 00:00:00,,1948
2284,Brian Cox,Жүжигчин,1994-08-07 00:00:00,,1994
2285,Damien O'Donnell,Найруулагч,1946-01-20 00:00:00,,1946
2286,Romola Garai,Жүжигчин,1961-06-10 00:00:00,,1961
2287,Steven Robertson,Жүжигчин,1984-01-21 00:00:00,,1984
2288,Nicholas Hoult,Жүжигчин,1948-08-31 00:00:00,,1948
2289,Toni Collette,Жүжигчин,1983-04-07 00:00:00,,1983
2290,Jerome Salle,Найруулагч,1988-05-20 00:00:00,,1988
2291,Yvan Attal,Жүжигчин,1983-10-02 00:00:00,,1983
2292,Sami Frey,Жүжигчин,1960-02-18 00:00:00,,1960
2293,Roman Polanski,Найруулагч,1941-04-21 00:00:00,,1941
2294,Thomas Kretschmann,Жүжигчин,1998-07-26 00:00:00,,1998
2295,Frank Finlay,Жүжигчин,1961-07-21 00:00:00,,1961
2296,Michel Gondry,Найруулагч,1993-02-17 00:00:00,,1993
2297,Romain Duris,Жүжигчин,1953-01-20 00:00:00,,1953
2298,Vincent Patar,Найруулагч,1950-09-20 00:00:00,,1950
2299,Forest Whitaker,Жүжигчин,1991-05-11 00:00:00,,1991
2300,Michael Winterbottom,Найруулагч,2002-01-09 00:00:00,,2002
2301,Steve Coogan,Жүжигчин,1996-10-20 00:00:00,,1996
2302,Matt Lucas,Жүжигчин,1989-08-01 00:00:00,,1989
2303,Charlotte Rampling,Жүжигчин,1956-04-12 00:00:00,,1956
2304,Charles Dance,Жүжигчин,2000-04-09 00:00:00,,2000
2305,Philippe Lioret,Найруулагч,1984-01-29 00:00:00,,1984
2306,Melanie Laurent,Найруулагч,1951-05-13 00:00:00,,1951
2307,Isabelle Renauld,Жүжигчин,1948-07-15 00:00:00,,1948
2308,Stefan Ruzowitzky,Найруулагч,1997-07-01 00:00:00,,1997
2309,Eric Bana,Жүжигчин,1958-02-28 00:00:00,,1958
2310,Charlie Hunnam,Жүжигчин,1990-07-20 00:00:00,,1990
2311,Norah Jones,Жүжигчин,1949-02-24 00:00:00,,1949
2312,David Lynch,Найруулагч,1958-07-07 00:00:00,,1958
2313,Naomi Watts,Жүжигчин,1958-09-17 00:00:00,,1958
2314,Laura Harring,Жүжигчин,1958-07-21 00:00:00,,1958
2315,Justin Theroux,Жүжигчин,1984-07-13 00:00:00,,1984
2316,Nick Murphy,Найруулагч,2000-05-08 00:00:00,,2000
2317,Dominic West,Жүжигчин,2000-01-31 00:00:00,,2000
2318,Imelda Staunton,Жүжигчин,1988-12-10 00:00:00,,1988
2319,Cedric Klapisch,Найруулагч,1953-05-14 00:00:00,,1953
2320,Joffrey Platel,Жүжигчин,2003-05-26 00:00:00,,2003
2321,Jean-Pierre Jeunet,Найруулагч,1975-10-11 00:00:00,,1975
2322,Marie-Laure Dougnac,Жүжигчин,1976-01-13 00:00:00,,1976
2323,Dominique Pinon,Жүжигчин,1986-04-17 00:00:00,,1986
2324,Pascal Benezech,Жүжигчин,1990-10-05 00:00:00,,1990
2325,Sid Bennett,Найруулагч,2002-11-23 00:00:00,,2002
2326,Richard Dillane,Жүжигчин,1978-06-09 00:00:00,,1978
2327,Peter Brooke,Жүжигчин,1980-04-06 00:00:00,,1980
2328,Matt Kane,Жүжигчин,1989-03-16 00:00:00,,1989
2329,Atom Egoyan,Найруулагч,1956-11-01 00:00:00,,1956
2330,Julianne Moore,Жүжигчин,1960-04-23 00:00:00,,1960
2331,Jeremy Degruson,Найруулагч,1981-04-13 00:00:00,,1981
2332,George Babbit,Жүжигчин,1944-03-25 00:00:00,,1944
2333,Murray Blue,Жүжигчин,1961-02-25 00:00:00,,1961
2334,Oscar Isaac,Жүжигчин,1987-05-22 00:00:00,,1987
2335,Carey Mulligan,Жүжигчин,2004-06-04 00:00:00,,2004
2336,Eric-Emmanuel Schmitt,Найруулагч,1974-04-15 00:00:00,,1974
2337,Michèle Laroque,Жүжигчин,1966-05-18 00:00:00,,1966
2338,Amir Ben Abdelmoumen,Жүжигчин,1969-01-24 00:00:00,,1969
2339,Max von Sydow,Жүжигчин,1985-03-28 00:00:00,,1985
2340,Stéphane Rybojad,Найруулагч,1975-12-08 00:00:00,,1975
2341,Diane Kruger,Жүжигчин,1941-07-13 00:00:00,,1941
2342,Djimon Hounsou,Жүжигчин,1975-08-04 00:00:00,,1975
2343,Benoît Magimel,Жүжигчин,1966-05-28 00:00:00,,1966
2344,Nicolas Boukhrief,Найруулагч,1986-04-03 00:00:00,,1986
2345,Albert Dupontel,Найруулагч,1997-10-04 00:00:00,,1997
2346,Jean Dujardin,Жүжигчин,2003-07-10 00:00:00,,2003
2347,François Berléand,Жүжигчин,1980-04-10 00:00:00,,1980
2348,Karin Viard,Жүжигчин,1963-12-06 00:00:00,,1963
2349,Gilles Lellouche,Жүжигчин,1969-04-20 00:00:00,,1969
2350,Audrey Lamy,Жүжигчин,1951-08-24 00:00:00,,1951
2351,Sérgio Machado,Найруулагч,2001-10-09 00:00:00,,2001
2352,Mariana Ximenes,Жүжигчин,1995-12-04 00:00:00,,1995
2353,Milton Gonçalves,Жүжигчин,1996-05-13 00:00:00,,1996
2354,Marieta Severo,Жүжигчин,1961-08-28 00:00:00,,1961
2355,Jim Broadbent,Жүжигчин,1961-04-07 00:00:00,,1961
2356,Heather Craney,Жүжигчин,1996-07-15 00:00:00,,1996
2357,Sylvain Estibal,Найруулагч,1975-12-10 00:00:00,,1975
2358,Sasson Gabai,Жүжигчин,1986-07-05 00:00:00,,1986
2359,Baya Belal,Жүжигчин,1972-04-30 00:00:00,,1972
2360,Myriam Tekaïa,Жүжигчин,1969-03-22 00:00:00,,1969
2361,André Dussollier,Жүжигчин,1981-09-22 00:00:00,,1981
2362,Sandrine Bonnaire,Жүжигчин,1993-08-28 00:00:00,,1993
2363,Michel Duchaussoy,Жүжигчин,1962-01-19 00:00:00,,1962
2364,Eric Valette,Найруулагч,1993-05-28 00:00:00,,1993
2365,Alice Taglioni,Жүжигчин,1956-02-13 00:00:00,,1956
2366,Stéphane Debac,Жүжигчин,1966-08-02 00:00:00,,1966
2367,Laetitia Colombani,Найруулагч,2000-03-27 00:00:00,,2000
2368,Catherine Deneuve,Жүжигчин,2002-12-30 00:00:00,,2002
2369,Jaume Collet-Serra,Найруулагч,2000-12-22 00:00:00,,2000
2370,Scoot McNairy,Жүжигчин,1960-11-09 00:00:00,,1960
2371,Tomas Alfredson,Найруулагч,1995-08-29 00:00:00,,1995
2372,James Griffiths,Найруулагч,2001-10-13 00:00:00,,2001
2373,Rashida Jones,Жүжигчин,2004-07-24 00:00:00,,2004
2374,Chris O'Dowd,Жүжигчин,1941-05-18 00:00:00,,1941
2375,Nassim Amaouche,Найруулагч,1989-03-03 00:00:00,,1989
2376,Jean-Pierre Bacri,Жүжигчин,2005-10-14 00:00:00,,2005
2377,Dominique Reymond,Жүжигчин,1990-06-20 00:00:00,,1990
2378,Yasmine Belmadi,Жүжигчин,1955-05-23 00:00:00,,1955
2379,Sylvie Testud,Жүжигчин,1990-05-01 00:00:00,,1990
2380,Kaori Tsuji,Жүжигчин,1946-12-12 00:00:00,,1946
2381,Tarô Suwa,Жүжигчин,1971-09-21 00:00:00,,1971
2382,Marie Denarnaud,Жүжигчин,1981-05-01 00:00:00,,1981
2383,Denis Ménochet,Жүжигчин,1970-02-15 00:00:00,,1970
2384,Clémentine Célarié,Жүжигчин,1986-03-10 00:00:00,,1986
2385,Alain Resnais,Найруулагч,1955-11-09 00:00:00,,1955
2386,Pierre Arditi,Жүжигчин,1980-01-05 00:00:00,,1980
2387,Sabine Azéma,Жүжигчин,1982-07-23 00:00:00,,1982
2388,Agnès Jaoui,Найруулагч,1981-10-30 00:00:00,,1981
2389,Marilou Berry,Жүжигчин,1959-02-04 00:00:00,,1959
2390,Янживын Оюунцэцэг,Жүжигчин,1960-02-26 00:00:00,Янжив овогтой Оюунцэцэг (1960-1994),1960
2391,Лхагвабаярын Жижжалам,Жүжигчин,1957-01-05 00:00:00,Лхагвабаяр овогтой Жижжалам,1957
2392,Бямбацогтын Чинбат,Жүжигчин,1970-06-24 00:00:00,Бямбацогт овогтой Чинбат,1970
2393,Rian Johnson,Найруулагч,1978-09-03 00:00:00,,1978
2394,Anne Fassio,Найруулагч,1963-12-05 00:00:00,,1963
2395,Christopher Lambert,Жүжигчин,1967-01-22 00:00:00,Бүгд,1967
2396,Claude Brasseur,Жүжигчин,1958-11-26 00:00:00,,1958
2397,Fleur Lise,Жүжигчин,1954-06-11 00:00:00,,1954
2398,Clément Michel,Найруулагч,1983-05-23 00:00:00,,1983
2399,Raphaël Personnaz,Жүжигчин,1993-11-10 00:00:00,,1993
2400,Charlotte Le Bon,Жүжигчин,1959-03-10 00:00:00,,1959
2401,Jérôme Commandeur,Жүжигчин,1996-10-18 00:00:00,,1996
2402,Alexandre Charlot,Найруулагч,1977-09-07 00:00:00,,1977
2403,Franck Magnier,Найруулагч,1951-01-25 00:00:00,,1951
2404,Franck Dubosc,Жүжигчин,1964-02-27 00:00:00,,1964
2405,Marina Foïs,Жүжигчин,1940-06-29 00:00:00,,1940
2406,Charles Crombez,Жүжигчин,1942-08-02 00:00:00,,1942
2407,Frédéric Berthe,Найруулагч,1962-03-09 00:00:00,,1962
2408,Pascal Serieis,Найруулагч,1969-12-29 00:00:00,,1969
2409,Florence Foresti,Жүжигчин,1992-08-20 00:00:00,,1992
2410,Nikki Deloach,Жүжигчин,1948-11-11 00:00:00,,1948
2411,Bouli Lanners,Жүжигчин,1995-05-21 00:00:00,,1995
2412,Melanie Griffith,Жүжигчин,1955-06-24 00:00:00,,1955
2413,Isabelle Fuhrman,Жүжигчин,1949-02-16 00:00:00,,1949
2414,Yuri Lowenthal,Жүжигчин,1986-03-12 00:00:00,,1986
2415,Dominique Monfery,Найруулагч,1991-02-08 00:00:00,,1991
2416,Louise Cheka,Жүжигчин,1979-12-04 00:00:00,,1979
2417,Kevin Sommier,Жүжигчин,1947-08-21 00:00:00,,1947
2418,Ariane Aggiage,Жүжигчин,1947-08-12 00:00:00,,1947
2419,Rodolphe Lauga,Найруулагч,1965-09-29 00:00:00,,1965
2420,Manu Payet,Найруулагч,1969-09-27 00:00:00,,1969
2421,Anaïs Demoustier,Жүжигчин,2005-11-28 00:00:00,,2005
2422,Emmanuelle Chriqui,Жүжигчин,1958-11-28 00:00:00,,1958
2423,Béla Tarr,Найруулагч,1952-09-16 00:00:00,,1952
2424,Mihály Vig,Жүжигчин,2002-06-06 00:00:00,,2002
2425,Putyi Horváth,Жүжигчин,1950-02-28 00:00:00,,1950
2426,László feLugossy,Жүжигчин,1941-09-28 00:00:00,,1941
2427,Costa-Gavras,Найруулагч,1967-11-27 00:00:00,,1967
2428,Geordy Monfils,Жүжигчин,1966-06-21 00:00:00,,1966
2429,Danièle Thompson,Найруулагч,1980-11-24 00:00:00,,1980
2430,Philippe Godeau,Найруулагч,1997-12-06 00:00:00,,1997
2431,Michel Vuillermoz,Жүжигчин,2001-07-28 00:00:00,,2001
2432,Declan Lowney,Найруулагч,1959-02-12 00:00:00,,1959
2433,Colm Meaney,Жүжигчин,2004-09-25 00:00:00,,2004
2434,Tim Key,Жүжигчин,1981-10-03 00:00:00,,1981
2435,Caroline Bottaro,Найруулагч,1944-08-05 00:00:00,,1944
2436,Kevin Kline,Жүжигчин,2001-12-09 00:00:00,,2001
2437,Francis Renaud,Жүжигчин,1949-02-08 00:00:00,,1949
2438,Thibault Verhaeghe,Жүжигчин,1978-11-06 00:00:00,,1978
2439,Jean-Pierre Darroussin,Жүжигчин,1992-03-10 00:00:00,,1992
2440,Robin Davis,Найруулагч,1956-06-18 00:00:00,,1956
2441,Patrick Laurent,Жүжигчин,1957-11-11 00:00:00,,1957
2442,Michel Ocelot,Найруулагч,1971-06-06 00:00:00,,1971
2443,Julien Beramis,Жүжигчин,1998-05-27 00:00:00,,1998
2444,Marine Griset,Жүжигчин,1954-10-04 00:00:00,,1954
2445,Michel Elias,Жүжигчин,1983-10-15 00:00:00,,1983
2446,Jacques-Rémy Girerd,Найруулагч,1969-11-14 00:00:00,,1969
2447,Michel Piccoli,Жүжигчин,1947-05-20 00:00:00,,1947
2448,Anouk Grinberg,Жүжигчин,1986-12-02 00:00:00,,1986
2449,Annie Girardot,Жүжигчин,1994-12-12 00:00:00,,1994
2450,Marc Webb,Найруулагч,1977-12-28 00:00:00,,1977
2451,Denis Podalydès,Жүжигчин,1951-08-22 00:00:00,,1951
2452,Charlotte Kady,Жүжигчин,1950-04-12 00:00:00,,1950
2453,Emir Kusturica,Найруулагч,1967-12-14 00:00:00,,1967
2454,Slavko Stimac,Жүжигчин,1973-06-04 00:00:00,,1973
2455,Natasa Tapuskovic,Жүжигчин,1976-06-11 00:00:00,,1976
2456,Vesna Trivalic,Жүжигчин,1956-01-30 00:00:00,,1956
2457,Gérard Lauzier,Найруулагч,1973-01-18 00:00:00,,1973
2458,Souad Amidou,Жүжигчин,1959-06-23 00:00:00,,1959
2459,Tony Loeser,Найруулагч,1985-04-15 00:00:00,,1985
2460,Jesper Møller,Найруулагч,1992-07-26 00:00:00,,1992
2461,Benno Fürmann,Жүжигчин,1983-01-29 00:00:00,,1983
2462,Christoph Maria Herbst,Жүжигчин,1940-01-31 00:00:00,,1940
2463,Joachim Król,Жүжигчин,2005-06-23 00:00:00,,2005
2464,Youssef Chahine,Найруулагч,1941-07-26 00:00:00,,1941
2465,Amos Gitai,Найруулагч,2005-12-18 00:00:00,,2005
2467,Shôhei Imamura,Найруулагч,1942-02-04 00:00:00,,1942
2468,Claude Lelouch,Найруулагч,1974-02-01 00:00:00,,1974
2469,Ken Loach,Найруулагч,1946-12-29 00:00:00,,1946
2470,Samira Makhmalbaf,Найруулагч,1946-04-13 00:00:00,,1946
2471,Mira Nair,Найруулагч,1985-02-07 00:00:00,,1985
2472,Idrissa Ouedraogo,Найруулагч,1988-01-15 00:00:00,,1988
2473,Sean Penn,Найруулагч,1947-10-21 00:00:00,,1947
2474,Maryam Karimi,Жүжигчин,2004-06-17 00:00:00,,2004
2475,Mohamad Dolati,Жүжигчин,1961-02-24 00:00:00,,1961
2476,Agelem Habibi,Жүжигчин,1961-01-03 00:00:00,,1961
2477,Yang Li,Найруулагч,1959-08-08 00:00:00,,1959
2478,Lu Huang,Жүжигчин,1970-06-10 00:00:00,,1970
2479,Youan Yang,Жүжигчин,1951-09-27 00:00:00,,1951
2480,Yuling Zhang,Жүжигчин,1968-01-14 00:00:00,,1968
2481,Julio Medem,Найруулагч,1953-11-10 00:00:00,,1953
2482,Najwa Nimri,Жүжигчин,1943-05-24 00:00:00,,1943
2483,Fele Martínez,Жүжигчин,1964-05-03 00:00:00,,1964
2484,Nancho Novo,Жүжигчин,1984-05-15 00:00:00,,1984
2485,J K Rowling,Зохиолч,1990-05-13 00:00:00,,1990
2486,Б Сүхболд,Жүжигчин,1963-04-27 00:00:00,Бүгд,1963
2487,Цэвэлийн Дашнамжил,Жүжигчин,1961-05-14 00:00:00,Цэвэл овогтой Дашнамжил,1961
2488,Б Баян-Ерөөл,Найруулагч,1963-08-12 00:00:00,"Ханз: 巴音额日乐 Латин: Bayin, Bayaneruul Өвөр Монголын Өөртөө Засах Орны Ордос хотын Өөшин хошуунд төрсөн. Монгол үндэстэн.",1963
2489,Yann Moix,Найруулагч,1991-12-22 00:00:00,,1991
2490,Jean-Paul Rouve,Жүжигчин,1984-12-16 00:00:00,,1984
2491,Julie Depardieu,Жүжигчин,1994-12-02 00:00:00,,1994
2492,Philippe Torreton,Жүжигчин,1999-10-21 00:00:00,,1999
2493,Grégori Derangère,Жүжигчин,1994-03-15 00:00:00,,1994
2494,Terry Loane,Найруулагч,2001-10-22 00:00:00,,2001
2495,John Joe McNeill,Жүжигчин,1967-07-02 00:00:00,,1967
2496,Niall Wright,Жүжигчин,1966-01-18 00:00:00,,1966
2497,Julie Walters,Жүжигчин,1961-03-22 00:00:00,,1961
2498,Vincent De Brus,Найруулагч,1955-07-11 00:00:00,,1955
2499,Christian Clavier,Жүжигчин,1989-06-03 00:00:00,,1989
2500,Jennifer Saunders,Жүжигчин,1987-02-26 00:00:00,,1987
2501,Gabriel Le Bomin,Найруулагч,1992-11-22 00:00:00,,1992
2502,Marc-Andre Grondin,Жүжигчин,1951-01-18 00:00:00,,1951
2503,Laura Smet,Жүжигчин,1972-06-03 00:00:00,,1972
2504,Charles Berling,Жүжигчин,1954-08-25 00:00:00,,1954
2505,Benjamin Lehrer,Найруулагч,1998-12-10 00:00:00,,1998
2506,Anne Bouvier,Жүжигчин,1957-08-25 00:00:00,,1957
2507,Guillaume Gallienne,Жүжигчин,1949-07-01 00:00:00,,1949
2508,Denys Arcand,Найруулагч,1977-08-11 00:00:00,,1977
2509,Marc Labrèche,Жүжигчин,1998-01-07 00:00:00,,1998
2510,Sylvie Léonard,Жүжигчин,2000-06-09 00:00:00,,2000
2511,Anthony Silverston,Найруулагч,1946-05-05 00:00:00,,1946
2512,Steve Buscemi,Жүжигчин,1961-07-05 00:00:00,,1961
2513,Loretta Devine,Жүжигчин,1950-02-18 00:00:00,,1950
2514,Wayne Thornley,Найруулагч,1960-04-26 00:00:00,,1960
2515,Leonard Nimoy,Жүжигчин,1975-03-27 00:00:00,,1975
2516,Jeremy Suarez,Жүжигчин,1958-07-08 00:00:00,,1958
2517,Abigail Breslin,Жүжигчин,1944-06-15 00:00:00,,1944
2518,Hailee Steinfeld,Жүжигчин,1973-08-30 00:00:00,,1973
2519,Connie Nielsen,Жүжигчин,1943-06-27 00:00:00,,1943
2520,Camille Delamarre,Найруулагч,1954-12-17 00:00:00,,1954
2521,Paul Walker,Жүжигчин,1940-01-13 00:00:00,,1940
2522,David Belle,Жүжигчин,1945-09-24 00:00:00,,1945
2523,RZA,Жүжигчин,1968-10-18 00:00:00,,1968
2524,Trish Sie,Найруулагч,1996-02-24 00:00:00,,1996
2525,Ryan Guzman,Жүжигчин,1991-02-15 00:00:00,,1991
2526,Briana Evigan,Жүжигчин,1946-07-10 00:00:00,,1946
2527,Adam G Sevani,Жүжигчин,1942-04-19 00:00:00,,1942
2528,Law Wing-cheung,Найруулагч,1962-04-25 00:00:00,,1962
2529,Wang Baoqiang,Жүжигчин,1983-01-18 00:00:00,,1983
2530,Huang Shengyi,Жүжигчин,1989-04-14 00:00:00,,1989
2531,Ivan Reitman,Найруулагч,1994-04-30 00:00:00,,1994
2532,Chadwick Boseman,Жүжигчин,1962-08-02 00:00:00,,1962
2533,Michael Hoffman,Найруулагч,1951-02-01 00:00:00,,1951
2534,Michelle Monaghan,Жүжигчин,1941-09-27 00:00:00,,1941
2535,Luke Bracey,Жүжигчин,1949-09-10 00:00:00,,1949
2536,Christopher Folino,Найруулагч,1944-04-19 00:00:00,,1944
2537,Chase Williamson,Жүжигчин,1996-10-24 00:00:00,,1996
2538,Ashley Bell,Жүжигчин,1957-09-18 00:00:00,,1957
2539,Clancy Brown,Жүжигчин,1994-04-30 00:00:00,,1994
2540,José Iván Santiago,Найруулагч,1976-07-05 00:00:00,,1976
2541,Daddy Yankee,Жүжигчин,1975-07-28 00:00:00,,1975
2542,Maestro,Жүжигчин,1970-01-06 00:00:00,,1970
2543,Katiria Soto,Жүжигчин,1994-01-25 00:00:00,,1994
2544,Bruce A Evans,Найруулагч,1942-11-13 00:00:00,,1942
2545,William Hurt,Жүжигчин,1946-02-14 00:00:00,,1946
2546,Eric Amadio,Найруулагч,1967-12-11 00:00:00,,1967
2547,Marc Blucas,Жүжигчин,1966-01-13 00:00:00,,1966
2548,Jose Pablo Cantillo,Жүжигчин,1976-01-04 00:00:00,,1976
2549,Bryan Poyser,Найруулагч,1988-09-11 00:00:00,,1988
2550,David DeGrow Shotwell,Жүжигчин,1978-10-11 00:00:00,,1978
2551,Sean Garrity,Найруулагч,1956-12-28 00:00:00,,1956
2552,Jonas Chernick,Жүжигчин,1961-08-08 00:00:00,,1961
2553,Emily Hampshire,Жүжигчин,1989-08-27 00:00:00,,1989
2554,Sarah Manninen,Жүжигчин,1953-04-18 00:00:00,,1953
2555,Anthony DiBlasi,Найруулагч,1973-04-11 00:00:00,,1973
2556,Dawn Olivieri,Жүжигчин,1975-07-24 00:00:00,,1975
2557,Mitch Ryan,Жүжигчин,1989-07-08 00:00:00,,1989
2558,Kip Pardue,Жүжигчин,1987-02-23 00:00:00,,1987
2559,Tricia Lee,Найруулагч,1970-09-02 00:00:00,,1970
2560,Chelsea Jenish,Жүжигчин,1960-05-28 00:00:00,,1960
2561,Sofia Banzhaf,Жүжигчин,1964-04-13 00:00:00,,1964
2562,Robert Nolan,Жүжигчин,1967-03-02 00:00:00,,1967
2563,Coley Sohn,Найруулагч,1954-06-19 00:00:00,,1954
2564,Anna Gunn,Жүжигчин,1981-04-11 00:00:00,,1981
2565,Ashley Rickards,Жүжигчин,1953-10-02 00:00:00,,1953
